staff,day,availableQueue,currentQueue
1,0,5,0
2,0,5,0
3,0,5,0
4,0,5,0
1,1,5,0
2,1,5,0
3,1,5,0
4,1,5,0
1,2,5,0
2,2,5,0
3,2,5,0
4,2,5,0
1,3,5,0
2,3,5,0
3,3,5,0
4,3,5,0
1,4,5,0
2,4,5,0
3,4,5,0
4,4,5,0
1,5,5,0
2,5,5,0
3,5,5,0
4,5,5,0
1,6,5,0
2,6,5,0
3,6,5,0
4,6,4,1
1,7,5,0
2,7,5,0
3,7,5,0
4,7,4,1
1,8,5,0
2,8,5,0
3,8,5,0
4,8,4,1
1,9,5,0
2,9,5,0
3,9,5,0
4,9,4,1
1,10,5,0
2,10,5,0
3,10,5,0
4,10,4,1
1,11,5,0
2,11,4,1
3,11,5,0
4,11,4,1
1,12,5,0
2,12,4,1
3,12,5,0
4,12,4,1
1,13,5,0
2,13,4,1
3,13,5,0
4,13,4,1
1,14,5,0
2,14,4,1
3,14,5,0
4,14,4,1
1,15,5,0
2,15,4,1
3,15,5,0
4,15,4,1
1,16,5,0
2,16,4,1
3,16,5,0
4,16,3,2
1,17,5,0
2,17,4,1
3,17,5,0
4,17,3,2
1,18,5,0
2,18,4,1
3,18,5,0
4,18,3,2
1,19,5,0
2,19,4,1
3,19,5,0
4,19,3,2
1,20,5,0
2,20,4,1
3,20,5,0
4,20,3,2
1,21,4,1
2,21,4,1
3,21,5,0
4,21,3,2
1,22,4,1
2,22,4,1
3,22,5,0
4,22,3,2
1,23,4,1
2,23,4,1
3,23,5,0
4,23,3,2
1,24,4,1
2,24,4,1
3,24,5,0
4,24,3,2
1,25,4,1
2,25,4,1
3,25,5,0
4,25,3,2
1,26,4,1
2,26,3,2
3,26,5,0
4,26,3,2
1,27,4,1
2,27,3,2
3,27,5,0
4,27,3,2
1,28,4,1
2,28,3,2
3,28,5,0
4,28,3,2
1,29,4,1
2,29,3,2
3,29,5,0
4,29,3,2
1,30,4,1
2,30,3,2
3,30,5,0
4,30,3,2
1,31,4,1
2,31,3,2
3,31,4,1
4,31,3,2
1,32,4,1
2,32,3,2
3,32,4,1
4,32,3,2
1,33,4,1
2,33,3,2
3,33,4,1
4,33,3,2
1,34,4,1
